EMPLID,Name,AcademicPlan,Grad Year
0668065,"lldyr,kfmre",F100-2208,19-20
3376236,"acnbn,xtgfv",F100-2208,20-21
4416345,"qmwzc,yvohv",F100-2208,20-21
5999323,"dmtvz,xlzqe",F100-2208,19-20
6595911,"hhypq,wefls",F100-2208,19-20
6089782,"hpfeq,jtacd",F100-2208,19-20
4078035,"zjhdh,umcdw",F100-2208,20-21
5963611,"bzggs,jokus",F100-2208,19-20
1828641,"wqufc,tuwgf",F100-2208,19-20
2168290,"xhmnh,gcery",F100-2208,19-20
7560221,"ytgto,njgnd",F100-2208,19-20
4824249,"dqshj,lrhta",F100-2208,19-20
4344207,"zbsxa,bdxck",F100-2208,20-21
3028184,"afhop,bbfkj",F100-2208,20-21
4869431,"afypa,ouiij",F100-2208,19-20
9727716,"mszfd,xtqth",F100-2208,20-21
8855671,"ywbmd,fjjiq",F100-2208,20-21
8308865,"gokuu,dcgwl",F100-2208,20-21
6460226,"rtnvk,dwmfb",F100-2208,19-20
4444416,"veaol,zpfhm",F100-2208,19-20
6394867,"texrj,wzqjm",F100-2208,19-20
6553309,"hgwog,egkdi",F100-2208,20-21
3762386,"ppkjz,itovj",F100-2208,19-20
5846806,"riybc,vbgsx",F100-2208,19-20
2820062,"gxmzn,dgdgb",F100-2208,19-20
4476703,"dyfio,jlmsv",F100-2208,19-20
3374258,"gevwc,wvqfe",F100-2208,19-20
2667106,"qapog,eispx",F100-2208,20-21
4979841,"gmxar,ckwzk",F100-2208,19-20
6753122,"dfbue,jjswq",F100-2208,19-20
5073463,"xrhsx,xopfz",F100-2208,20-21
9633701,"bbeam,kdsql",F100-2208,19-20
2622169,"wlhoq,zycml",F100-2208,20-21
3325434,"wdbjm,nowlj",F100-2208,20-21
4655443,"wppjn,rtzcc",F100-2208,20-21
1652424,"tgpbg,ycjio",F100-2208,19-20
8070959,"krgjc,kaevj",F100-2208,20-21
0581934,"djipi,kfswe",F100-2208,19-20
4777712,"iabgy,jpsiy",F100-2208,19-20
7061063,"ictyv,pozht",F100-2208,19-20
0536178,"blhkf,reljd",F100-2208,20-21
4742421,"lbfrs,twaza",F100-2208,19-20
8380725,"xuico,hkqgw",F100-2208,20-21
4948429,"ryabp,wmdka",F100-2208,20-21
2830096,"pgxkr,uzjec",F100-2208,19-20
7050272,"yzyqw,ixcml",F100-2208,19-20
2071881,"maaqn,bgzbv",F100-2208,19-20
7336838,"czdkj,zvdjk",F100-2208,20-21
2236001,"nkohl,mbols",F100-2208,20-21
8025572,"nnlln,rvbtt",F100-2208,19-20
9704516,"cgjgh,qvmfs",F100-2208,20-21
7300501,"rymnp,skiwl",F100-2208,19-20
7207145,"kndhp,afqmw",F100-2208,19-20
4290263,"jxvtk,ppmce",F100-2208,20-21
8177090,"jmgoc,bkftl",F100-2208,19-20
1988247,"ecxfk,xyfzp",F100-2208,20-21
6042472,"gewlt,hcnjf",F100-2208,20-21
2459074,"pjnij,yzfia",F100-2208,20-21
5879079,"tofao,prpzb",F100-2208,20-21
4064272,"dgook,olgya",F100-2208,20-21
8972316,"tlldc,oqtrn",F100-2208,20-21
7049734,"iffww,fbdjb",F100-2208,19-20
3400388,"mxdlu,dbrjj",F100-2208,20-21
5303144,"kibtf,nirod",F100-2208,19-20
1442168,"csawd,ppikf",F100-2208,19-20
9701767,"xjdav,elfwo",F100-2208,20-21
2123220,"aessj,yjykl",F100-2208,20-21
5070307,"ssusk,iuplb",F100-2208,20-21
3101310,"uhkdb,jkefs",F100-2208,20-21
6650572,"dalpb,iagml",F100-2208,20-21
1321838,"pntqa,ngtiw",F100-2208,19-20
1688167,"qaiss,azyjn",F100-2208,20-21
8607058,"vjhae,nxuzq",F100-2208,20-21
1139073,"hmbrp,yfptg",F100-2208,19-20
8574320,"ewnyi,afwzu",F100-2208,19-20
2762087,"sjnrq,jkwtp",F100-2208,20-21
2724484,"lzepz,cinlu",F100-2208,19-20
9757276,"mpxku,jzfoq",F100-2208,20-21
4615137,"pebev,kcmha",F100-2208,20-21
8282506,"jogrk,yfltr",F100-2208,19-20
7990359,"tvwag,fmozy",F100-2208,19-20
7280514,"ytths,wsfib",F100-2208,19-20
9070445,"kasya,feoik",F100-2208,19-20
4789824,"tkhpg,jvqhm",F100-2208,19-20
3429253,"ovtne,bqrwt",F100-2208,20-21
9590612,"jvuer,fxosp",F100-2208,20-21
9493116,"aplya,rcwll",F100-2208,20-21
4398862,"keyxi,hrhbe",F100-2208,20-21
1146527,"tsemt,fxdkr",F100-2208,20-21
3360775,"wabjs,fgwrc",F100-2208,20-21
2602289,"tesmq,juqxn",F100-2208,19-20
6025211,"nqdbs,qrxhx",F100-2208,20-21
6329566,"ofkxk,pudlq",F100-2208,20-21
3860504,"eyxua,mhfll",F100-2208,20-21
7184701,"jcuoi,auroj",F100-2208,19-20
8034738,"bjxha,iilfr",F100-2208,20-21
4691582,"yqzvv,itkbf",F100-2208,19-20
1857467,"nchta,xtlkm",F100-2208,19-20
1156245,"cqhps,gqxqs",F100-2208,19-20
8960438,"dfnoy,zacgb",F100-2208,20-21
2377705,"pcvag,biyee",F100-2208,20-21
5375745,"aukog,lclvh",F100-2208,19-20
8594965,"vtxbw,abhvl",F100-2208,19-20
2347189,"orwzq,zprsb",F100-2208,20-21
1017905,"ppmdz,yavfi",F100-2208,19-20
5936263,"lmrsr,tyyoy",F100-2208,19-20
6439897,"upwoq,mqqrc",F100-2208,19-20
4924929,"dyxni,evjme",F100-2208,20-21
1263496,"tqvdv,ixlsm",F100-2208,19-20
8695041,"flaas,ifvfj",F100-2208,19-20
4722128,"ywkoa,lwscn",F100-2208,19-20
0085044,"atfuz,wkhue",F100-2208,20-21
3055303,"hpqbc,kwsyn",F100-2208,19-20
1419900,"jvhta,jqubw",F100-2208,20-21
4646779,"djsdb,qrtus",F100-2208,19-20
1777108,"abqfq,giqnq",F100-2208,20-21
3333864,"kmhtt,nusdf",F100-2208,19-20
6889169,"hqhar,gerqt",F100-2208,19-20
5054047,"vvyew,bhqsv",F100-2208,19-20
8254560,"zuvah,vcnfq",F100-2208,20-21
7955239,"vpwde,vnhto",F100-2208,19-20
8007140,"illae,szibf",F100-2208,19-20
5256695,"fgkys,zfjdn",F100-2208,19-20
0135099,"ofmjr,kzkky",F100-2208,19-20
9890061,"godfo,xnpsd",F100-2208,20-21
1838112,"vhpdr,euxwq",F100-2208,19-20
3896944,"oveou,xkvte",F100-2208,19-20
2546193,"uhdab,fncmz",F100-2208,20-21
5901563,"nfzmz,yblqy",F100-2208,20-21
0121868,"lfckr,pyone",F100-2208,20-21
9157282,"geogk,hwkhb",F100-2208,20-21
0212260,"akmoe,ywknn",F100-2208,20-21
5028166,"ngtqn,enczg",F100-2208,20-21
5562559,"qbkeo,bxpon",F100-2208,19-20
9140044,"rrsoc,ihoju",F100-2208,20-21
2508036,"cmufs,flgzo",F100-2208,19-20
9344883,"dhgov,tlhvr",F100-2208,20-21
1747401,"kteyx,hkuap",F100-2208,19-20
1328132,"oaads,zmmgf",F100-2208,20-21
0511536,"ripfs,grfrt",F100-2208,20-21
5766354,"pptwy,iqbcs",F100-2208,20-21
8296741,"aqglq,uricj",F100-2208,19-20
1384655,"kgoys,uuuso",F100-2208,19-20
5566295,"dabqr,smqua",F100-2208,20-21
7012522,"pqama,anbzh",F100-2208,20-21
2599213,"jbpfr,zorsf",F100-2208,20-21
6299981,"zfbve,veiij",F100-2208,19-20
6618921,"vunov,oyhpi",F100-2208,19-20
9286721,"gdffz,etmza",F100-2208,19-20
3221462,"agioo,wlupp",F100-2208,19-20
6975196,"goirp,xhcjw",F100-2208,20-21
5976946,"kbthf,bqoid",F100-2208,20-21
0056879,"efewf,sdtxn",F100-2208,19-20
6698370,"vdkyv,xjpkp",F100-2208,19-20
4642050,"ueciw,matls",F100-2208,19-20
1882413,"smsrn,mrsus",F100-2208,19-20
6599108,"jgfpi,rhbmu",F100-2208,20-21
8878182,"zarhh,pxaqh",F100-2208,20-21
6805534,"fwadv,jkxit",F100-2208,19-20
3213437,"winkk,mdnip",F100-2208,20-21
7133012,"ycnsb,qmwwr",F100-2208,19-20
3234519,"maxec,dzehu",F100-2208,19-20
3017718,"sodpg,jhifa",F100-2208,19-20
7636835,"kpgfw,aiqlv",F100-2208,20-21
4183108,"tszdc,dgthv",F100-2208,20-21
4657139,"qmmzo,exrzh",F100-2208,19-20
6084842,"xbtvx,krfpb",F100-2208,20-21
4431742,"nqfsq,cyswb",F100-2208,19-20
9831506,"pypbw,grgba",F100-2208,20-21
3390697,"bpsgw,tmply",F100-2208,20-21
5014482,"srnfs,fjpbo",F100-2208,19-20
3404160,"qppiq,adwie",F100-2208,20-21
7602067,"skfez,rlvam",F100-2208,19-20
8548905,"azafk,gkind",F100-2208,20-21
1879260,"bpahu,xbmon",F100-2208,20-21
7148242,"prtko,inrhc",F100-2208,20-21
5070046,"qkezy,afnbs",F100-2208,20-21
1311675,"bylki,ynvqh",F100-2208,20-21
6944448,"xorwk,qiwan",F100-2208,19-20
6192246,"wwaek,qkhbc",F100-2208,20-21
1209581,"wgbsx,ymogp",F100-2208,20-21
4456732,"smctz,ovmsx",F100-2208,20-21
6486207,"yeloi,katnq",F100-2208,19-20
4726890,"rysmf,mjkby",F100-2208,20-21
6212260,"ucshn,olxhg",F100-2208,20-21
3040868,"icqlf,eapsi",F100-2208,20-21
5251085,"tsfjx,eftnq",F100-2208,20-21
0616973,"negzb,aelgo",F100-2208,19-20
2447340,"ccifc,ahquv",F100-2208,20-21
9198178,"mspli,mvbsf",F100-2208,20-21
8515850,"dbkip,dupuj",F100-2208,19-20
4202533,"rpadk,cjcsu",F100-2208,19-20
0898187,"gudbf,sinrw",F100-2208,19-20
1973341,"gqxoe,asyrb",F100-2208,20-21
4817650,"mxtyr,cphor",F100-2208,19-20
7184500,"hjteh,fcrfj",F100-2208,19-20
0934504,"worhj,xtxaw",F100-2208,20-21
4526011,"vlajq,fugve",F100-2208,20-21
0250334,"cbmya,imsax",F100-2208,19-20
8036088,"ldili,snvuh",F100-2208,20-21
4510930,"aklbq,mgpfz",F100-2208,20-21
5799486,"pdvyf,xyium",F100-2208,20-21
4353030,"gfufq,qoggu",F100-2208,20-21
2590070,"biuln,yfijs",F100-2208,19-20
8782727,"sflyg,jfqfc",F100-2208,20-21
2294089,"lghog,ofwzh",F100-2208,19-20
1597386,"uclde,narlx",F100-2208,19-20
9062210,"axthk,rzvid",F100-2208,20-21
1645624,"cyknw,lfnyn",F100-2208,20-21
3271383,"qzces,ibcwq",F100-2208,20-21
6078780,"prkda,mdhzm",F100-2208,20-21
8696541,"hdniu,ciiii",F100-2208,20-21
9829872,"ccfhg,rffbq",F100-2208,19-20
6806305,"vxdtm,gnabe",F100-2208,20-21
0387145,"xphxg,gzahj",F100-2208,20-21
8020338,"iiuko,nclyt",F100-2208,20-21
4482072,"pukij,sfklt",F100-2208,20-21
0317732,"loypb,iqwud",F100-2208,20-21
6196184,"seqts,guxro",F100-2208,20-21
8608915,"lxjmh,ssdxz",F100-2208,19-20
3768399,"wpcsa,nbdlv",F100-2208,20-21
5426669,"fweex,laatp",F100-2208,19-20
0439125,"pzhrv,rkcjr",F100-2208,20-21
1359943,"hgtkt,dfpnh",F100-2208,19-20
0874420,"bxrgz,kgtyo",F100-2208,19-20
2026706,"jkvqw,ofgpp",F100-2208,20-21
2170929,"jpxin,yagwl",F100-2208,19-20
7472005,"njyzo,akyym",F100-2208,20-21
8453116,"gjtft,ptsly",F100-2208,19-20
0952371,"dghkn,eozfd",F100-2208,20-21
6936256,"fkhry,ctcmm",F100-2208,19-20
8800688,"tyycb,tgjbd",F100-2208,20-21
4897729,"aekpx,grqil",F100-2208,20-21
0966533,"zygtc,tlxmk",F100-2208,19-20
7358425,"riiqp,qndld",F100-2208,20-21
7415104,"oyxqs,ndmxu",F100-2208,20-21
2190498,"dwazp,kakpd",F100-2208,20-21
5948472,"uttcc,vlzhc",F100-2208,19-20
7391062,"sfekl,oauab",F100-2208,20-21
5327722,"jfbxs,eysqj",F100-2208,20-21
3588411,"zwalf,smbyq",F100-2208,20-21
7207405,"pheeh,ervbt",F100-2208,19-20
5356323,"pjbci,kgstk",F100-2208,19-20
7513869,"sezkl,bndxw",F100-2208,19-20
6903130,"cjwkt,pxgfx",F100-2208,19-20
1716452,"rxjwc,cthsi",F100-2208,20-21
6107115,"saoau,oatfa",F100-2208,19-20
9235187,"iadjc,joucd",F100-2208,20-21
0830637,"nkpmv,nctie",F100-2208,20-21
5257182,"wzjib,swmqb",F100-2208,19-20
2984658,"ejyvw,mwghw",F100-2208,19-20
9430001,"zecco,crsyx",F100-2208,19-20
6569155,"ovtmi,ptrob",F100-2208,20-21
0815969,"mvnyh,zxqni",F100-2208,20-21
7733586,"rugsy,fjzvc",F100-2208,19-20
6064755,"hvxkg,fzphy",F100-2208,20-21
4535564,"uhgqp,vitmh",F100-2208,20-21
9672809,"qakci,imzpa",F100-2208,20-21
2043944,"xsbsp,tpulb",F100-2208,20-21
4125370,"dnszc,trlyr",F100-2208,20-21
5891750,"bhovj,kifuk",F100-2208,19-20
9085365,"jpvjf,anjzx",F100-2208,19-20
2281131,"skpej,kvdqu",F100-2208,20-21
6265498,"rpmxt,lulta",F100-2208,20-21
4945974,"uriph,conhg",F100-2208,19-20
6198945,"csdkg,zwgfk",F100-2208,20-21
6235863,"emguq,bvpzt",F100-2208,20-21
7337408,"mkdlf,cdnnr",F100-2208,19-20
9485699,"kgldo,oigpm",F100-2208,20-21
2801664,"bfkxo,knxua",F100-2208,20-21
8241488,"itvdz,hnrjn",F100-2208,19-20
4219192,"kwzxk,piodr",F100-2208,19-20
7376455,"kbptp,xxver",F100-2208,19-20
3284579,"mpuhb,bkxeg",F100-2208,19-20
3685208,"ajshi,zqgoi",F100-2208,19-20
7301759,"lzjxu,fltks",F100-2208,19-20
7806304,"atppp,znazp",F100-2208,19-20
0809766,"cxogz,tsjmu",F100-2208,20-21
3690511,"crang,mudox",F100-2208,19-20
9367870,"oztyp,qcetd",F100-2208,19-20
3033627,"nundv,bvahd",F100-2208,20-21
1589772,"komjl,qxxcr",F100-2208,20-21
1599116,"jndcp,elobk",F100-2208,20-21
8633103,"vryfa,yaqbz",F100-2208,20-21
4158802,"wxplh,fbnyp",F100-2208,19-20
0581570,"dflbg,wkvtb",F100-2208,19-20
6484054,"ckzfq,nlpxx",F100-2208,19-20
2072658,"qmlog,ngciq",F100-2208,20-21
5520104,"uumze,bfxyu",F100-2208,20-21
9990973,"zuyhj,sadfj",F100-2208,19-20
0065949,"saueg,cewil",F100-2208,20-21
5008127,"mvpnl,wiugi",F100-2208,19-20
4951936,"hauta,unsfh",F100-2208,20-21
0957821,"htptc,hsrjx",F100-2208,20-21
3645799,"ubrec,wcffh",F100-2208,20-21
3121066,"ttqau,ipwvb",F100-2208,19-20
6851893,"krvga,wsgjx",F100-2208,20-21
2136661,"lpksx,uiuea",F100-2208,20-21
8963309,"copxm,efftt",F100-2208,20-21
9961135,"zfwjw,lkimx",F100-2208,20-21
1732081,"itqgv,wfjum",F100-2208,20-21
1224184,"emzev,sxjyf",F100-2208,19-20
6770867,"nrtdc,knnwm",F100-2208,19-20
1676618,"mjvvh,aatwr",F100-2208,20-21
3173338,"wqftm,mocwi",F100-2208,19-20
7510851,"dxycj,xxfeb",F100-2208,20-21
3827578,"kfizj,egeti",F100-2208,19-20
4389332,"hcjkn,ibois",F100-2208,20-21
5767619,"xxwmw,kslpm",F100-2208,20-21
9131262,"shesm,apgee",F100-2208,19-20
0815202,"atykq,qoeeq",F100-2208,20-21
8414553,"huqwn,mgqdh",F100-2208,19-20
5987091,"oyjfh,pmwdm",F100-2208,20-21
1166778,"btpcb,vsaut",F100-2208,20-21
7326618,"dcppt,wfskt",F100-2208,19-20
9436055,"yfoyp,wimpl",F100-2208,19-20
8920603,"uvcfg,sdilw",F100-2208,20-21
9041338,"ypglu,mahsh",F100-2208,20-21
5595804,"wdfwq,lwefa",F100-2208,19-20
9753520,"bvxtm,kntli",F100-2208,19-20
0659010,"awjds,dcpmv",F100-2208,20-21
6175929,"bpfmp,xpcjo",F100-2208,20-21
5905281,"ulpxs,dodqg",F100-2208,20-21
9377525,"smpqe,etrlp",F100-2208,19-20
2367823,"ighzk,crlht",F100-2208,19-20
6647187,"jgwwn,vzhyn",F100-2208,20-21
4455713,"tsfmj,meiss",F100-2208,20-21
1731655,"vyhpd,kxdtn",F100-2208,19-20
8343820,"ygiwu,scjwk",F100-2208,19-20
1888570,"qjnif,whsmb",F100-2208,19-20
7088911,"jhitm,pzvhh",F100-2208,20-21
6566034,"clzdx,zlbcf",F100-2208,19-20
9523183,"gvncd,roesq",F100-2208,20-21
6693823,"spxef,thdrn",F100-2208,19-20
3754037,"ghmaw,ciobr",F100-2208,20-21
0631728,"klbgq,hmuvl",F100-2208,19-20
6247033,"nkjrb,lalnj",F100-2208,20-21
6977363,"kunbj,gyffn",F100-2208,19-20
9611464,"axxvd,lcoxc",F100-2208,20-21
7403165,"lunbu,vrwnf",F100-2208,20-21
8643539,"htdeo,aabgr",F100-2208,20-21
7331461,"ridfr,gcwri",F100-2208,19-20
0669508,"raatc,gcbfj",F100-2208,20-21
7337076,"eptwu,eqnsh",F100-2208,20-21
6856977,"nzrav,wpjuv",F100-2208,19-20
8303644,"ljlcc,cixdx",F100-2208,20-21
2132109,"uaopg,cdghj",F100-2208,19-20
3900760,"tnyqi,guiln",F100-2208,19-20
9970001,"meeal,kyndt",F100-2208,20-21
2146134,"vtqyg,ltygr",F100-2208,19-20
3637019,"qnahn,mdyon",F100-2208,20-21
0103894,"gucez,uefyf",F100-2208,20-21
2590485,"xmsrt,ecrel",F100-2208,20-21
5186717,"zsumt,ocmdc",F100-2208,19-20
3040941,"bnzzu,oqktk",F100-2208,20-21
1699938,"khags,nepuc",F100-2208,19-20
3781528,"ouxkb,tonel",F100-2208,20-21
4631781,"gstzz,eckbc",F100-2208,20-21
5149359,"bbqkr,ggkkc",F100-2208,20-21
5583345,"uetfd,xtmjs",F100-2208,20-21
3816971,"wmcbe,tntix",F100-2208,20-21
0758528,"xhqoc,wjrbp",F100-2208,20-21
4100141,"xcbvv,wncdh",F100-2208,19-20
1310706,"ikjlu,zwllb",F100-2208,19-20
6386344,"hrvyu,eozbu",F100-2208,19-20
9410938,"tdvto,grapy",F100-2208,19-20
3470672,"ybuil,oxeez",F100-2208,20-21
3193182,"gujfb,xyvyh",F100-2208,19-20
4581216,"tnysf,zfnaa",F100-2208,19-20
0043431,"fonxw,cflte",F100-2208,20-21
7283826,"etmek,xjxkb",F100-2208,20-21
9878590,"qrnew,mbqyy",F100-2208,19-20
3917232,"kgwcr,vukty",F100-2208,19-20
6584565,"iaftp,caxuw",F100-2208,19-20
2007087,"xmiab,moivr",F100-2208,19-20
0192681,"zzuef,atxai",F100-2208,19-20
6744345,"kdtjp,pucdg",F100-2208,20-21
8256516,"hxjgn,psqpf",F100-2208,20-21
6668730,"gocww,msjor",F100-2208,20-21
2294496,"nwxzs,afuut",F100-2208,20-21
5244810,"cyphd,zguri",F100-2208,19-20
4138168,"zhqnp,raojk",F100-2208,20-21
1682860,"ymcvf,mvhag",F100-2208,20-21
9492629,"hnalo,ggffj",F100-2208,20-21
1900985,"rkcjk,ggocp",F100-2208,20-21
8718182,"opgrm,cveeo",F100-2208,20-21
4289447,"oucqa,oclzd",F100-2208,19-20
4029193,"bvqxk,kwvxd",F100-2208,20-21
0881230,"ytior,lizhb",F100-2208,20-21
7968190,"lznex,ocuuj",F100-2208,19-20
0355595,"myzos,bulmb",F100-2208,19-20
6993632,"pnojm,abwei",F100-2208,20-21
1799632,"myfdm,timmp",F100-2208,19-20
1566077,"oksaw,sryhw",F100-2208,19-20
5316378,"afwck,lftnq",F100-2208,19-20
7411684,"jufow,hxkcy",F100-2208,20-21
4143041,"wenpu,yxqnc",F100-2208,20-21
1458065,"xsaub,svyqj",F100-2208,19-20
2513506,"sfzdm,mvigu",F100-2208,20-21
5850209,"gakxs,oirac",F100-2208,20-21
8558034,"bbaxv,klijq",F100-2208,20-21
7639133,"npdwp,glnie",F100-2208,20-21
9094276,"thict,edsep",F100-2208,20-21
8573815,"iwehv,xfgvl",F100-2208,20-21
7927649,"oksla,xeema",F100-2208,20-21
6488458,"tqjno,uwnir",F100-2208,19-20
9977396,"ypfgb,iizfw",F100-2208,19-20
5010234,"bilir,kasmp",F100-2208,20-21
3364812,"syquj,xpunz",F100-2208,19-20
8001515,"rbxbw,zsxcr",F100-2208,19-20
9063616,"koyls,aytkq",F100-2208,19-20
0394840,"ooakk,xaqiq",F100-2208,20-21
9846186,"azxqs,vheyk",F100-2208,19-20
1440021,"gjvbz,ctkrz",F100-2208,20-21
1462050,"giqzz,ochms",F100-2208,19-20
8943287,"jbvzs,xfilz",F100-2208,19-20
2454405,"vlsuo,wezgp",F100-2208,20-21
3642132,"whnxg,afkdk",F100-2208,19-20
3089288,"avtif,vupwf",F100-2208,20-21
1651433,"tdyer,djted",F100-2208,19-20
7654789,"flgef,fctvy",F100-2208,20-21
6133567,"vpxco,acmuy",F100-2208,19-20
4976009,"rqlll,ruzwf",F100-2208,20-21
9995076,"jzdrp,bydkd",F100-2208,19-20
2575481,"iwmib,dvnxp",F100-2208,19-20
1295788,"bxkei,aqtgm",F100-2208,19-20
6616457,"kfusy,ecziu",F100-2208,19-20
5653561,"cdesq,muiuf",F100-2208,19-20
0263015,"uepoc,pyurr",F100-2208,20-21
6579849,"djfso,zgszc",F100-2208,20-21
2648880,"bcwzy,fnpii",F100-2208,20-21
1210854,"bqsrg,vlwoa",F100-2208,20-21
9611690,"jexcq,doazl",F100-2208,19-20
6094589,"nuxdi,hhtne",F100-2208,19-20
8350227,"iidog,junmo",F100-2208,19-20
9442205,"lyhro,pavfm",F100-2208,19-20
0979519,"ukpjc,qqejt",F100-2208,19-20
3835059,"gytno,wehke",F100-2208,20-21
1098652,"deece,vyoil",F100-2208,20-21
8180330,"iuvge,bmccu",F100-2208,20-21
5390760,"evyvy,twhmp",F100-2208,20-21
1729632,"mptkh,gpiah",F100-2208,19-20
8203689,"ajxxa,xarad",F100-2208,19-20
4168972,"xefig,sfewc",F100-2208,20-21
6153780,"uursz,jghcp",F100-2208,19-20
3444850,"danji,dajuw",F100-2208,19-20
7292353,"tqmuk,uiuyy",F100-2208,20-21
5327491,"anehh,xujdh",F100-2208,19-20
5027940,"nyqqx,zrjxw",F100-2208,19-20
7894866,"odvai,drwso",F100-2208,20-21
8038736,"ugcmd,ssjfl",F100-2208,19-20
0206038,"lqnzr,haisy",F100-2208,20-21
9499614,"mrplk,hpned",F100-2208,20-21
9147668,"vqcga,jwyws",F100-2208,19-20
7691147,"wfbvx,altmi",F100-2208,19-20
2317018,"paevr,kiljm",F100-2208,20-21
2833997,"jkxan,wydtj",F100-2208,20-21
1155853,"vpliw,zdlbr",F100-2208,20-21
3874205,"zndya,vxyab",F100-2208,19-20
5173824,"ulgqp,xxnet",F100-2208,19-20
9380397,"alfmk,jmntl",F100-2208,19-20
5855625,"fyofl,ruwey",F100-2208,19-20
8937323,"qwyfz,pmkro",F100-2208,20-21
9709599,"ojpec,nytbt",F100-2208,20-21
7399535,"fheuu,cymay",F100-2208,20-21
0335621,"qwoni,lnkyg",F100-2208,19-20
6919514,"rhblx,rdywo",F100-2208,20-21
1424113,"eglwc,qiakb",F100-2208,20-21
3923470,"lgeoh,zpivl",F100-2208,20-21
0961451,"etofm,kxqkf",F100-2208,19-20
5147157,"lrkwh,khdzu",F100-2208,19-20
5988298,"captu,kwfvf",F100-2208,20-21
1770928,"ouzpy,rykxs",F100-2208,20-21
7227043,"yoehh,dsdkr",F100-2208,19-20
8408117,"hhwyb,rbnxr",F100-2208,20-21
9501106,"pewja,rexmb",F100-2208,19-20
5275574,"uejef,kakao",F100-2208,19-20
8826230,"hgtkm,gcfdp",F100-2208,20-21
1769400,"rfxhx,luvcn",F100-2208,19-20
4597584,"uyyxp,pehpa",F100-2208,19-20
2152339,"awoxu,kzekw",F100-2208,20-21
2537567,"wvhoe,bumgg",F100-2208,19-20
8042414,"qcqko,ubvzf",F100-2208,19-20
4115233,"dspfx,fjcjn",F100-2208,20-21
1128523,"hqkaq,plmms",F100-2208,19-20
7082446,"gztxs,rkjgq",F100-2208,19-20
8183427,"zfjtl,alzrh",F100-2208,20-21
2475556,"kcely,mzepa",F100-2208,20-21
8625951,"ymkmm,uiufg",F100-2208,20-21
2023940,"qapxz,otduv",F100-2208,19-20
3574426,"zbomd,veeei",F100-2208,19-20
7453439,"dbptn,jkcmp",F100-2208,20-21
2290562,"rxgyg,yghdl",F100-2208,19-20
6059962,"diins,ktovu",F100-2208,20-21
5575652,"nrywb,ejrlf",F100-2208,19-20
2956233,"szhbh,ybnnd",F100-2208,19-20
8594629,"xzgyg,hchat",F100-2208,20-21
5285320,"snukg,pnunc",F100-2208,20-21
4806690,"rwdvq,omhqd",F100-2208,20-21
4205331,"crvhx,gpxaj",F100-2208,20-21
1671241,"bafme,nlmng",F100-2208,19-20
1254331,"ejmmj,ywzca",F100-2208,20-21
8401742,"phwot,jdviw",F100-2208,20-21
3375983,"coclf,dsijm",F100-2208,19-20
6374520,"omqvu,xxhdj",F100-2208,20-21
5366040,"pjaeq,zqhwq",F100-2208,20-21
2207836,"jhptn,fhtcr",F100-2208,20-21
0464284,"itqvy,gcdyg",F100-2208,19-20
9966384,"tauoq,gxmky",F100-2208,20-21
1058910,"dczjb,nzndy",F100-2208,20-21
9380839,"ikunu,rjqfx",F100-2208,20-21
2262551,"omytl,mngjr",F100-2208,20-21
3643264,"pwfdf,fvozk",F100-2208,20-21
4482795,"wfeie,vuisn",F100-2208,19-20
0957680,"ihyqr,yekxh",F100-2208,19-20
6396368,"fvell,jkepl",F100-2208,20-21
7065968,"nivac,rzqyz",F100-2208,20-21
1748382,"qaxvi,qxmur",F100-2208,19-20
8652590,"hhxno,rmoss",F100-2208,19-20
5105663,"kctuy,anqdz",F100-2208,20-21
9140858,"xhkvm,gviul",F100-2208,19-20
7384802,"umast,zbnnw",F100-2208,20-21
4749141,"ijqwm,xhwrs",F100-2208,19-20
8209500,"aurkr,hrdlr",F100-2208,19-20
7924477,"soobl,saxga",F100-2208,20-21
0484160,"qjzif,tapel",F100-2208,20-21
3612827,"kwnix,zzmux",F100-2208,20-21
9440550,"ackfb,eyznd",F100-2208,20-21
8381004,"fhuzu,pkmai",F100-2208,19-20
3739727,"delqx,dzbht",F100-2208,19-20
3431976,"dnerx,ldxao",F100-2208,20-21
1295145,"oylrf,sbzbd",F100-2208,20-21
1408027,"cndcq,bllep",F100-2208,19-20
0745739,"bffpp,zwygp",F100-2208,20-21
8881903,"hdzio,nloem",F100-2208,19-20
5615925,"xnmsq,wdwmx",F100-2208,20-21
6212740,"cminr,fdhxa",F100-2208,19-20
2946051,"jxbod,oruqn",F100-2208,20-21
4941486,"zgdqp,rrwbp",F100-2208,19-20
4732976,"ejxxv,gnwfp",F100-2208,20-21
2109371,"hrxqm,hnkgy",F100-2208,20-21
2945639,"nraxh,hvfml",F100-2208,19-20
1606999,"udhdd,engyk",F100-2208,19-20
4204292,"cmjvi,hdpyn",F100-2208,20-21
3592457,"nanst,crmjm",F100-2208,20-21
2693829,"mrmqf,mkhos",F100-2208,20-21
1863507,"gdfjo,xpuwa",F100-2208,20-21
2145639,"demlp,ewybm",F100-2208,19-20
5957662,"ggsjd,vpeur",F100-2208,19-20
3126295,"owetd,bhfmy",F100-2208,20-21
3356085,"okklp,yrhbb",F100-2208,19-20
8208967,"penec,ziuny",F100-2208,20-21
0332094,"qwioc,iblgq",F100-2208,20-21
4457914,"cbebj,hicij",F100-2208,20-21
